wl,n,k
14.2857,2.369,0.0000034
14.7059,2.366,0.0000066
15.1515,2.362,0.0000152
15.625,2.357,0.0000322
16.129,2.351,0.000056
16.6667,2.345,0.0000555
17.2414,2.337,0.0000783
17.8571,2.328,0.0000839
18.5185,2.317,0.0001019
19.2308,2.304,0.0001839
20,2.291,0.0004232
20.8333,2.275,0.0007723
21.7391,2.257,0.0013358
